"Sygnatura czasowa","Identyfikator","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","Wiek","Plec"
"2019/11/01 8:10:49 PM CET","1","3","8","3","7","3","2","2","5","5","5","2","2","3","5","8","2","50 - 59","Mężczyzna"
"2019/11/01 8:30:00 PM CET","2","4","6","5","5","3","6","5","6","4","4","3","3","3","6","5","2","20 - 29","Mężczyzna"
"2019/11/01 8:31:10 PM CET","3","7","7","7","3","8","7","3","6","4","3","2","7","2","1","9","2","20 - 29","Mężczyzna"
"2019/11/01 8:44:38 PM CET","4","2","6","3","2","6","4","4","3","9","2","3","1","1","2","8","3","50 - 59","Kobieta"
"2019/11/03 6:48:48 PM CET","91","5","4","6","2","8","1","1","3","7","4","1","7","3","10","5","9","20 - 29","Mężczyzna"
"2019/11/05 10:55:21 AM CET","13","1","4","7","8","8","1","3","6","2","3","4","2","6","9","4","10","< 20","Mężczyzna"
"2019/11/05 10:55:44 AM CET","16","5","8","9","5","5","7","5","6","5","6","8","6","8","6","8","5","< 20","Mężczyzna"
"2019/11/05 10:55:52 AM CET","12","2","8","3","8","1","4","5","9","2","8","5","2","1","8","5","3","< 20","Kobieta"
"2019/11/05 10:56:05 AM CET","10","4","9","6","5","4","5","2","5","8","2","5","4","6","3","8","2","< 20","Mężczyzna"
"2019/11/05 10:56:06 AM CET","11","4","9","6","5","3","5","2","5","7","2","7","4","6","5","8","2","< 20","Mężczyzna"
"2019/11/05 10:56:16 AM CET","17","4","10","3","5","1","4","5","5","5","7","5","3","2","8","4","1","< 20","Kobieta"
"2019/11/05 10:56:24 AM CET","22 ","4","2","8","5","3","6","4","2","2","1","4","9","7","3","2","7","< 20","Kobieta"
"2019/11/05 10:56:29 AM CET","9","2","9","1","9","2","1","2","5","5","5","8","1","5","1","9","1","< 20","Kobieta"
"2019/11/05 10:56:36 AM CET","8","9","7","5","9","4","4","5","2","8","3","5","4","4","6","8","4","< 20","Kobieta"
"2019/11/05 10:56:48 AM CET","14","5","5","5","8","5","5","4","6","5","5","5","5","5","5","5","4","< 20","Mężczyzna"
"2019/11/05 10:56:50 AM CET","15","1","5","5","3","5","1","1","5","5","7","3","3","2","5","7","1","< 20","Kobieta"
"2019/11/05 10:56:52 AM CET","6","4","4","8","7","3","7","6","5","4","3","7","4","7","4","7","4","< 20","Kobieta"
"2019/11/05 10:56:56 AM CET","19","3","6","5","5","4","2","4","3","5","5","5","4","6","5","4","5","< 20","Mężczyzna"
"2019/11/05 10:57:12 AM CET","20","4","4","3","2","7","2","5","4","7","3","3","2","2","1","9","7","< 20","Kobieta"
"2019/11/05 10:57:20 AM CET","25","6","6","7","8","3","5","4","7","8","5","7","4","5","10","7","3","< 20","Mężczyzna"
"2019/11/05 10:58:12 AM CET","7","9","6","5","5","5","3","2","5","8","5","4","4","5","3","4","4","< 20","Mężczyzna"
"2019/11/05 10:58:18 AM CET","21","4","7","9","6","4","4","4","6","3","3","2","1","1","1","10","6","< 20","Kobieta"
"2019/11/05 10:58:37 AM CET","8","8","6","4","9","5","4","4","2","8","3","4","3","4","7","8","4","< 20","Kobieta"
"2019/11/05 10:59:02 AM CET","23","2","6","2","3","5","3","3","7","3","7","4","8","3","3","5","3","< 20","Mężczyzna"
